Name,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,Strong Relationships,Two-Way Communication
02M551 - Urban Assembly New York Harbor School,,,97.0,94.0,82.0,99.0,95.0,,
02M560 - High School M560 - City As School,,,100.0,97.0,82.0,100.0,95.0,,
02M565 - Urban Academy Laboratory High School,,,99.0,95.0,88.0,100.0,97.0,,
02M580 - Richard R. Green High School of Teaching,,,92.0,98.0,66.0,98.0,98.0,,
02M600 - The High School of Fashion Industries,,,98.0,94.0,72.0,97.0,96.0,,
02M605 - Humanities Preparatory Academy,,,95.0,87.0,87.0,95.0,94.0,,
02M615 - Chelsea Career and Technical Education High School,,,94.0,90.0,72.0,95.0,94.0,,
02M630 - Art and Design High School,,,97.0,93.0,82.0,97.0,94.0,,
02M655 - The High School for Climate Justice,,,100.0,88.0,67.0,99.0,97.0,,
02M896 - Lower Manhattan Community Middle School,,,98.0,97.0,87.0,99.0,98.0,,
02M933 - City Knoll Middle School,,,91.0,83.0,70.0,91.0,84.0,,
03M009 - P.S. 009 Sarah Anderson,,,96.0,95.0,95.0,97.0,98.0,,
03M054 - J.H.S. 054 Booker T. Washington,,,94.0,93.0,90.0,95.0,94.0,,
03M075 - P.S. 075 Emily Dickinson,,,89.0,93.0,92.0,94.0,98.0,,
03M076 - P.S. 076 A. Philip Randolph,89.0,100.0,99.0,97.0,79.0,98.0,98.0,100.0,100.0
03M084 - P.S. 084 Lillian Weber,62.0,91.0,83.0,88.0,92.0,81.0,92.0,95.0,89.0
03M087 - P.S. 087 William Sherman,60.0,40.0,93.0,93.0,94.0,93.0,93.0,60.0,60.0
"03M145 - P.S. 145, The Bloomingdale School",50.0,83.0,94.0,93.0,90.0,95.0,93.0,89.0,93.0
03M149 - P.S. 149 Sojourner Truth,,,98.0,95.0,92.0,98.0,97.0,,
03M163 - P.S. 163 Alfred E. Smith,82.0,87.0,71.0,87.0,87.0,72.0,88.0,100.0,82.0
03M165 - P.S. 165 Robert E. Simon,93.0,93.0,89.0,94.0,93.0,91.0,95.0,100.0,100.0
03M166 - P.S. 166 The Richard Rodgers School of The Arts and Technology,,,77.0,92.0,94.0,80.0,93.0,,
03M180 - P.S. 180 Hugo Newman,67.0,81.0,93.0,91.0,92.0,94.0,92.0,89.0,78.0
03M185 - The Locke School of Arts and Engineering,67.0,90.0,94.0,95.0,96.0,93.0,95.0,100.0,100.0
03M191 - The Riverside School for Makers and Artists,62.0,88.0,99.0,97.0,91.0,99.0,97.0,83.0,85.0
03M199 - P.S. 199 Jessie Isador Straus,,,83.0,94.0,91.0,90.0,94.0,,
03M241 - STEM Institute of Manhattan,,,95.0,98.0,86.0,99.0,99.0,,
03M242 - P.S. 242 - The Young Diplomats Magnet Academy,80.0,100.0,94.0,94.0,85.0,95.0,93.0,100.0,100.0
03M243 - M.S. 243 Center School,,,95.0,92.0,93.0,96.0,93.0,,
03M245 - M.S. M245 The Computer School,,,95.0,93.0,92.0,96.0,94.0,,
03M247 - M.S. M247 Dual Language Middle School,,,98.0,97.0,91.0,99.0,97.0,,
03M250 - M.S. 250 West Side Collaborative Middle School,,,96.0,98.0,89.0,99.0,98.0,,
03M256 - Lafayette Academy,,,97.0,92.0,90.0,94.0,96.0,,
03M258 - Community Action School - MS 258,,,100.0,99.0,85.0,100.0,99.0,,
03M291 - West End Secondary School,,,90.0,91.0,90.0,89.0,93.0,,
03M299 - The Maxine Greene HS for Imaginative Inquiry,,,93.0,93.0,74.0,93.0,88.0,,
03M333 - P.S. 333 Manhattan School for Children,,,64.0,86.0,91.0,57.0,87.0,,
03M334 - The Anderson School,,,78.0,90.0,91.0,83.0,92.0,,
03M402 - The Urban Assembly School for Green Careers,,,100.0,93.0,94.0,97.0,96.0,,
03M403 - The Global Learning Collaborative,,,95.0,90.0,65.0,95.0,94.0,,
03M404 - Innovation Diploma Plus,,,100.0,100.0,64.0,97.0,100.0,,
03M415 - Wadleigh Secondary School for the Performing & Visual Arts,,,88.0,89.0,83.0,83.0,87.0,,
03M417 - Frank McCourt High School,,,94.0,93.0,84.0,96.0,95.0,,
03M421 - West Prep Academy,,,100.0,96.0,93.0,100.0,98.0,,
03M452 - P.S. 452,80.0,100.0,83.0,90.0,88.0,84.0,92.0,100.0,100.0
03M479 - Beacon High School,,,95.0,86.0,77.0,95.0,86.0,,
03M485 - Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,66.0,71.0,72.0,65.0,77.0,,
"03M492 - High School for Law, Advocacy and Community Justice",,,88.0,91.0,73.0,80.0,95.0,,
03M494 - High School of Arts and Technology,,,88.0,93.0,81.0,96.0,83.0,,
03M505 - Edward A. Reynolds West Side High School,,,100.0,100.0,82.0,95.0,100.0,,
03M541 - Manhattan / Hunter Science High School,,,95.0,92.0,67.0,94.0,93.0,,
03M859 - Special Music School,,,87.0,94.0,91.0,86.0,94.0,,
03M860 - Frederick Douglass Academy II Secondary School,,,99.0,96.0,88.0,100.0,99.0,,
03M862 - Mott Hall II,,,96.0,93.0,85.0,98.0,94.0,,
04M007 - P.S. 007 Samuel Stern,,,91.0,88.0,79.0,93.0,90.0,,
04M012 - Tag Young Scholars,,,89.0,91.0,90.0,94.0,94.0,,
04M037 - River East Elementary,57.0,92.0,97.0,99.0,93.0,99.0,98.0,86.0,100.0
04M038 - P.S. 38 Roberto Clemente,96.0,98.0,94.0,92.0,85.0,86.0,94.0,100.0,100.0
04M057 - James Weldon Johnson,,,95.0,92.0,87.0,94.0,94.0,,
04M083 - P.S. 083 Luis Munoz Rivera,80.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0
04M096 - P.S. 096 Joseph Lanzetta,85.0,95.0,95.0,95.0,89.0,95.0,95.0,100.0,100.0
04M102 - P.S. 102 Jacques Cartier,,,65.0,89.0,92.0,78.0,85.0,,
04M108 - P.S. 108 Assemblyman Angelo Del Toro Educational Complex,,,94.0,96.0,94.0,100.0,100.0,,
04M112 - P.S. 112 Jose Celso Barbosa,60.0,100.0,99.0,98.0,98.0,94.0,98.0,80.0,100.0
04M146 - P.S. 146 Ann M. Short,,,100.0,92.0,97.0,100.0,94.0,,
04M155 - P.S. 155 William Paca,86.0,100.0,95.0,96.0,89.0,96.0,97.0,100.0,100.0
04M171 - P.S. 171 Patrick Henry,84.0,95.0,98.0,97.0,91.0,98.0,97.0,100.0,100.0
04M182 - The Bilingual Bicultural School,,,96.0,96.0,96.0,95.0,96.0,,
04M206 - P.S. 206 Jose Celso Barbosa,,,98.0,97.0,88.0,98.0,98.0,,
04M224 - M.S. 224 Manhattan East School for Arts & Academics,,,93.0,89.0,89.0,95.0,93.0,,
04M372 - Esperanza Preparatory Academy,,,97.0,95.0,71.0,94.0,94.0,,
04M375 - Mosaic Preparatory Academy,100.0,100.0,97.0,100.0,92.0,96.0,100.0,100.0,100.0
04M377 - Renaissance School of the Arts,,,100.0,88.0,87.0,93.0,95.0,,
04M435 - Manhattan Center for Science and Mathematics,,,92.0,91.0,59.0,91.0,94.0,,
04M495 - Park East High School,,,90.0,92.0,83.0,90.0,92.0,,
04M497 - Central Park East I,63.0,89.0,96.0,93.0,93.0,96.0,95.0,100.0,78.0
04M555 - Central Park East High School,,,98.0,95.0,69.0,98.0,96.0,,
04M610 - Young Women's Leadership School,,,99.0,93.0,82.0,97.0,97.0,,
"04M680 - Heritage School, The",,,99.0,96.0,80.0,97.0,96.0,,
04M825 - Isaac Newton Middle School for Math & Science,,,96.0,97.0,89.0,98.0,97.0,,
04M964 - Central Park East II,83.0,100.0,92.0,94.0,89.0,90.0,96.0,100.0,100.0
05M030 - P.S. 030 Hernandez/Hughes,100.0,100.0,99.0,97.0,87.0,100.0,98.0,100.0,100.0
05M036 - P.S. 036 Margaret Douglas,,,100.0,94.0,86.0,100.0,95.0,,
05M046 - P.S. 046 Arthur Tappan,,,93.0,100.0,85.0,100.0,100.0,,
05M092 - P.S. 092 Mary McLeod Bethune,,,100.0,98.0,87.0,100.0,100.0,,
05M123 - P.S. 123 Mahalia Jackson,100.0,100.0,97.0,97.0,90.0,97.0,98.0,100.0,100.0
05M125 - P.S. 125 Ralph Bunche,67.0,93.0,92.0,91.0,95.0,93.0,93.0,100.0,86.0
05M129 - P.S. 129 John H. Finley,,,88.0,87.0,87.0,88.0,93.0,,
05M133 - P.S. 133 Fred R Moore,75.0,100.0,91.0,96.0,87.0,92.0,95.0,100.0,97.0
05M148 - Eagle Academy for Young Men of Harlem,,,100.0,99.0,82.0,100.0,100.0,,
05M154 - P.S. 154 Harriet Tubman,88.0,100.0,99.0,99.0,72.0,98.0,98.0,100.0,100.0
05M157 - The Urban Assembly School for Global Commerce,,,82.0,71.0,52.0,77.0,75.0,,
05M161 - P.S. 161 Pedro Albizu Campos,,,94.0,94.0,88.0,95.0,95.0,,
05M175 - P.S. 175 Henry H Garnet,88.0,94.0,89.0,94.0,85.0,87.0,95.0,100.0,88.0
05M194 - P.S. 194 Countee Cullen,88.0,88.0,69.0,93.0,94.0,66.0,94.0,88.0,88.0
05M197 - P.S. 197 John B. Russwurm,,,100.0,100.0,92.0,100.0,100.0,,
05M200 - P.S. 200- The James McCune Smith School,,,99.0,97.0,78.0,99.0,98.0,,
05M304 - Mott Hall High School,,,99.0,98.0,85.0,99.0,97.0,,
05M318 - Thurgood Marshall Academy Lower School,,,98.0,97.0,93.0,99.0,96.0,,
05M362 - Columbia Secondary School,,,86.0,89.0,84.0,88.0,90.0,,
05M369 - Urban Assembly School for the Performing Arts,,,87.0,80.0,75.0,80.0,81.0,,
05M371 - School of Earth Exploration and Discovery Harlem (SEED Harlem),,,100.0,97.0,90.0,100.0,99.0,,
05M499 - Frederick Douglass Academy,,,83.0,84.0,73.0,86.0,87.0,,
05M514 - New Design Middle School,,,99.0,100.0,94.0,100.0,100.0,,
05M517 - Teachers College Community School,,,83.0,92.0,95.0,93.0,92.0,,
05M670 - Thurgood Marshall Academy for Learning and Social Change,,,95.0,73.0,92.0,96.0,87.0,,
"05M692 - High School for Mathematics, Science and Engineering at City College",,,93.0,91.0,73.0,94.0,92.0,,
06M004 - P.S. 004 Duke Ellington,89.0,95.0,100.0,99.0,95.0,100.0,99.0,100.0,100.0
06M005 - P.S. 005 Ellen Lurie,76.0,92.0,96.0,94.0,91.0,96.0,96.0,94.0,90.0
06M008 - P.S. 008 Luis Belliard,80.0,95.0,99.0,99.0,92.0,99.0,99.0,100.0,100.0
06M018 - P.S. 018 Park Terrace,,,98.0,95.0,87.0,98.0,97.0,,
06M028 - P.S. 028 Wright Brothers,93.0,100.0,97.0,95.0,92.0,97.0,96.0,100.0,100.0
06M048 - P.S. 048 P.O. Michael J. Buczek,81.0,90.0,97.0,93.0,92.0,97.0,96.0,96.0,91.0
06M052 - Harold O. Levy School,,,100.0,100.0,94.0,100.0,100.0,,
06M098 - P.S. 098 Shorac Kappock,57.0,100.0,96.0,92.0,93.0,98.0,95.0,100.0,100.0
06M103 - Dos Puentes Elementary School,,,97.0,96.0,95.0,98.0,98.0,,
06M115 - P.S. 115 Alexander Humboldt,88.0,100.0,96.0,96.0,91.0,96.0,96.0,100.0,100.0
06M128 - P.S. 128 Audubon,77.0,97.0,97.0,96.0,93.0,97.0,97.0,100.0,96.0
06M132 - P.S. 132 Juan Pablo Duarte,,,100.0,99.0,99.0,100.0,100.0,,
06M143 - J.H.S. 143 Eleanor Roosevelt,,,97.0,95.0,85.0,96.0,95.0,,
06M152 - P.S. 152 Dyckman Valley,100.0,100.0,100.0,100.0,70.0,100.0,100.0,100.0,100.0
06M153 - P.S. 153 Adam Clayton Powell,84.0,95.0,95.0,96.0,92.0,96.0,96.0,96.0,98.0
06M173 - P.S. 173,100.0,100.0,93.0,96.0,95.0,95.0,95.0,100.0,100.0
06M178 - Professor Juan Bosch Public School,,,98.0,97.0,93.0,98.0,98.0,,
06M187 - P.S./I.S. 187 Hudson Cliffs,91.0,96.0,96.0,90.0,87.0,95.0,93.0,91.0,100.0
06M189 - P.S. 189,100.0,100.0,98.0,97.0,95.0,99.0,98.0,100.0,100.0
06M192 - P.S. 192 Jacob H. Schiff,80.0,97.0,96.0,97.0,90.0,97.0,97.0,97.0,100.0
06M209 - Hamilton Grange Middle School,,,96.0,95.0,89.0,96.0,96.0,,
06M210 - P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,91.0,100.0,94.0,94.0,90.0,95.0,94.0,92.0,100.0
06M211 - Inwood Early College for Health and Information Technologies,,,92.0,91.0,89.0,91.0,88.0,,
06M223 - The Mott Hall School,,,97.0,94.0,90.0,97.0,94.0,,
06M278 - Paula Hedbavny School,,,95.0,93.0,95.0,95.0,93.0,,
06M293 - City College Academy of the Arts,,,96.0,95.0,91.0,97.0,95.0,,
06M311 - Amistad Dual Language School,,,97.0,95.0,87.0,98.0,96.0,,
06M314 - Muscota,,,97.0,96.0,92.0,98.0,98.0,,
06M319 - M.S. 319 - Maria Teresa,,,93.0,90.0,89.0,92.0,92.0,,
06M322 - Middle School 322,,,96.0,94.0,91.0,96.0,96.0,,
06M324 - M.S. 324 - Patria Mirabal,,,91.0,96.0,80.0,96.0,97.0,,
06M328 - Community Math & Science Prep,,,99.0,99.0,80.0,98.0,99.0,,
06M346 - Community Health Academy of the Heights,,,99.0,99.0,95.0,99.0,99.0,,
06M348 - Washington Heights Expeditionary Learning School,100.0,100.0,93.0,97.0,97.0,97.0,97.0,100.0,100.0
06M349 - Harbor Heights,,,96.0,98.0,90.0,98.0,96.0,,
06M366 - Washington Heights Academy,88.0,97.0,97.0,96.0,92.0,96.0,95.0,97.0,97.0
06M368 - The William Lynch School,85.0,94.0,98.0,97.0,92.0,98.0,98.0,94.0,94.0
06M423 - High School for Excellence and Innovation,,,100.0,100.0,92.0,100.0,100.0,,
06M462 - The College Academy,,,96.0,95.0,68.0,94.0,94.0,,
06M463 - High School for Media and Communications,,,99.0,98.0,93.0,98.0,99.0,,
06M467 - High School for Law and Public Service,,,100.0,100.0,97.0,100.0,100.0,,
06M468 - High School for Health Careers and Sciences,,,100.0,100.0,94.0,100.0,100.0,,
06M513 - Castle Bridge School,,,98.0,98.0,96.0,97.0,99.0,,
06M528 - I.S. 528 Bea Fuller Rodgers School,,,97.0,96.0,86.0,97.0,97.0,,
06M540 - A. Philip Randolph Campus High School,,,96.0,91.0,76.0,94.0,91.0,,
06M552 - Gregorio Luperon High School for Science and Mathematics,,,98.0,97.0,87.0,98.0,96.0,,
07X001 - P.S. 001 Courtlandt School,,,98.0,95.0,87.0,96.0,97.0,,
07X005 - P.S. 5 Port Morris,95.0,95.0,92.0,94.0,84.0,92.0,94.0,95.0,95.0
07X018 - P.S. 018 John Peter Zenger,,,89.0,86.0,78.0,89.0,93.0,,
07X025 - P.S. 025 Bilingual School,85.0,93.0,94.0,95.0,93.0,94.0,96.0,95.0,95.0
07X029 - P.S./M.S. 029 Melrose School,67.0,100.0,94.0,95.0,85.0,95.0,96.0,100.0,100.0
07X030 - P.S. 030 Wilton,60.0,94.0,90.0,90.0,85.0,89.0,93.0,88.0,88.0
07X031 - P.S./M.S. 031 The William Lloyd Garrison,97.0,100.0,99.0,98.0,89.0,99.0,98.0,100.0,100.0
07X043 - P.S. 043 Jonas Bronck,80.0,84.0,95.0,94.0,83.0,94.0,96.0,96.0,84.0
07X049 - P.S. 049 Willis Avenue,100.0,100.0,99.0,99.0,89.0,99.0,99.0,100.0,100.0
07X065 - P.S. 065 Mother Hale Academy,,,99.0,99.0,96.0,100.0,100.0,,
07X151 - J.H.S. 151 Lou Gehrig,,,98.0,97.0,84.0,98.0,97.0,,
