DBN,School Name,Location Type,"Total Guidance Counselors (GC) & Social Workers (SW)


(includes GCs, SWs, ATRs, School Response Clinicians, High Needs Counselors, High Need SWs, Single Shepherds, Bridging the Gap SWs)",Total GC,Total SW,Full-time GC,Full-Time SW,Part-time GC,Part-Time SW,Bilingual GC,Bilingual SW,GC Serving More than One Location,SW Serving More than One Location,High Needs GC,High Needs SW,Bridging the Gap,School Response Clinician,Single Shepherd,Learning to Work,School Psychologist Providing Mandated Counseling,CBO Partner for Mental Health Support,2020-21 SY Enrollment,Ratio GC & SW,Ratio GC Only,Ratio SW Only
04M171,P.S. 171 Patrick Henry,K-8,2.6,1,1.6,1,1.6,0,0,0,0,0,0,false,no,false,false,false,false,false,no,770,296,770,481
04M182,The Bilingual Bicultural School,Elementary,1.4,0,1.4,0,1.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,264,189,264,189
04M206,P.S. 206 Jose Celso Barbosa,K-8,2.4,0,2.4,0,2.4,0,0,0,1,0,0,false,no,false,false,false,false,false,no,447,186,447,186
04M224,M.S. 224 Manhattan East School for Arts & Academics,Junior High-Intermediate-Middle,3.0,2,1,2,1,0,0,1,0,0,0,false,no,false,true,false,false,false,no,203,68,102,203
04M310,The Judith S. Kaye School,High school,GC and SW counts reflected on 79M331,0,0,0,0,0,0,0,0,0,0,false,no,false,false,false,true,false,no,na - see note in columnn D,na - see note in columnn D,na - see note in columnn D,na - see note in columnn D
04M372,Esperanza Preparatory Academy,Secondary School,4.2,3,1.2,3,1.2,0,0,2,0,0,0,false,no,false,false,false,false,false,no,475,113,158,396
04M375,Mosaic Preparatory Academy,Elementary,3.4,2,1.4,2,1.4,0,0,0,0,0,0,true,Tax levy funded,false,false,false,false,false,no,219,64,110,156
04M377,Renaissance School of the Arts,Junior High-Intermediate-Middle,2.4,1,1.4,1,1.4,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,201,84,201,144
04M435,Manhattan Center for Science and Mathematics,High school,5.2,4,1.2,4,1.2,0,0,2,0,0,0,false,no,false,false,false,false,false,no,"1,629",313,407,"1,358"
04M495,Park East High School,High school,4.2,3,1.2,3,1.2,0,0,1,0,0,0,false,no,false,false,false,false,false,no,386,92,129,322
04M497,Central Park East I,Elementary,1.4,0,1.4,0,1.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,154,110,154,110
04M555,Central Park East High School,High school,4.0,3,1,3,1,0,0,1,0,0,0,false,no,false,false,false,false,false,no,520,130,173,520
04M610,Young Women's Leadership School,Secondary School,2.2,1,1.2,1,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,479,218,479,399
04M680,"Heritage School, The",High school,3.0,3,0,3,0,0,0,1,0,0,0,false,ARPA funded,false,false,false,false,false,no,325,108,108,325
04M825,Isaac Newton Middle School for Math & Science,Junior High-Intermediate-Middle,2.0,1,1,1,1,0,0,0,0,0,0,false,no,false,false,false,false,false,no,323,162,323,323
04M964,Central Park East II,K-8,2.6,1,1.6,1,1.6,0,0,1,0,0,0,false,ARPA funded,false,false,false,false,false,no,435,167,435,272
05M030,P.S. 030 Hernandez/Hughes,Elementary,2.2,2,0.2,2,0.2,0,0,0,0,0,0,false,no,false,false,false,false,false,"United Community Schools, Inc.",205,93,103,205
05M036,P.S. 036 Margaret Douglas,Elementary,2.0,1,1,1,1,0,0,0,0,0,0,false,no,false,false,false,false,false,no,312,156,312,312
05M046,P.S. 046 Arthur Tappan,K-8,3.0,1,2,1,2,0,0,0,0,0,0,false,no,false,false,false,false,false,no,490,163,490,245
05M092,P.S. 092 Mary McLeod Bethune,Elementary,2.4,0,2.4,0,2.4,0,0,0,0,0,0,false,no,true,false,false,false,false,no,214,89,214,89
05M123,P.S. 123 Mahalia Jackson,K-8,1.4,1,0.4,1,0.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,418,299,418,418
05M125,P.S. 125 Ralph Bunche,Elementary,2.0,1,1,1,1,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,294,147,294,294
05M129,P.S. 129 John H. Finley,K-8,2.3,1,1.3,1,1.3,0,0,1,0,0,0,false,no,true,false,false,false,false,no,306,133,306,235
05M133,P.S. 133 Fred R Moore,Elementary,2.2,2,0.2,2,0.2,0,0,0,0,0,0,false,no,false,false,false,false,false,no,210,95,105,210
05M148,Eagle Academy for Young Men of Harlem,Secondary School,2.2,1,1.2,1,1.2,0,0,0,0,0,0,false,no,false,false,false,false,false,no,325,148,325,271
05M154,P.S. 154 Harriet Tubman,Elementary,1.4,1,0.4,1,0.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,219,156,219,219
05M157,The Urban Assembly School for Global Commerce,High school,3.0,2,1,2,1,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,195,65,98,195
05M161,P.S. 161 Pedro Albizu Campos,K-8,2.6,2,0.6,2,0.6,0,0,0,0,0,0,false,no,true,false,false,false,false,no,687,264,344,687
05M175,P.S. 175 Henry H Garnet,Elementary,2.4,0,2.4,0,2.4,0,0,0,0,0,0,false,no,true,false,false,false,false,no,321,134,321,134
05M194,P.S. 194 Countee Cullen,Elementary,2.2,1,1.2,1,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,"Partnership with Children, Inc.",169,77,169,141
05M197,P.S. 197 John B. Russwurm,Elementary,2.4,1,1.4,1,1.4,0,0,0,0,0,0,false,no,true,false,false,false,false,no,233,97,233,166
05M200,P.S. 200- The James McCune Smith School,Elementary,2.4,2,0.4,2,0.4,0,0,0,1,0,0,false,no,false,false,false,false,false,no,298,124,149,298
05M285,Harlem Renaissance High School,High school,2.0,1,1,1,1,0,0,0,0,0,0,false,ARPA funded,false,false,false,true,false,no,161,81,161,161
05M286,Urban Assembly Academy for Future Leaders,Junior High-Intermediate-Middle,1.2,1,0.2,1,0.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,93,78,93,93
05M304,Mott Hall High School,High school,2.2,1,1.2,1,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,207,94,207,173
05M318,Thurgood Marshall Academy Lower School,Elementary,2.2,1,1.2,1,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,186,85,186,155
05M362,Columbia Secondary School,Secondary School,3.0,2,1,2,1,0,0,1,0,0,0,false,ARPA funded,false,false,false,false,false,no,700,233,350,700
05M369,Urban Assembly School for the Performing Arts,High school,4.0,3,1,3,1,0,0,0,0,0,0,false,no,false,false,false,false,false,no,386,97,129,386
05M371,School of Earth Exploration and Discovery Harlem (SEED Harlem),Junior High-Intermediate-Middle,2.3,1,1.3,1,1.3,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,78,34,78,60
05M499,Frederick Douglass Academy,Secondary School,6.2,4,2.2,4,2.2,0,0,0,0,0,0,false,no,true,false,false,false,false,no,994,160,249,452
05M514,New Design Middle School,Junior High-Intermediate-Middle,2.4,1,1.4,1,1.4,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,135,56,135,96
05M517,Teachers College Community School,K-8,1.0,1,0,1,0,0,0,0,0,0,0,false,no,false,false,false,false,false,no,373,373,373,373
05M670,Thurgood Marshall Academy for Learning and Social Change,Secondary School,3.2,2,1.2,2,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,536,168,268,447
05M692,"High School for Mathematics, Science and Engineering at City College",High school,2.2,2,0.2,2,0.2,0,0,0,0,0,0,false,no,false,false,false,false,false,no,496,225,248,496
06M004,P.S. 004 Duke Ellington,Elementary,3.0,1,2,1,2,0,0,0,0,0,0,false,no,false,false,false,false,false,no,455,152,455,228
06M005,P.S. 005 Ellen Lurie,Elementary,2.8,2,0.8,2,0.8,0,0,0,1,0,0,false,no,false,false,false,false,false,no,521,186,261,521
06M008,P.S. 008 Luis Belliard,Elementary,2.2,1,1.2,1,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,441,200,441,368
06M018,P.S. 018 Park Terrace,K-8,2.4,1,1.4,1,1.4,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,318,133,318,227
06M028,P.S. 028 Wright Brothers,Elementary,3.0,2,1,2,1,0,0,0,1,0,0,false,no,false,false,false,false,false,no,469,156,235,469
06M048,P.S. 048 P.O. Michael J. Buczek,Elementary,1.8,1,0.8,1,0.8,0,0,1,1,0,0,false,no,false,false,false,false,false,no,421,234,421,421
